DIRECTION,Month of Month,ROUTE_NAME,TIME_PERIOD_NAME,Prc Trips at Crowding Threshold
INBOUND,September 2025,001 - 1 CALIFORNIA,0600 AM Peak (6am-9am),28%
INBOUND,August 2025,001 - 1 CALIFORNIA,0600 AM Peak (6am-9am),24%
INBOUND,July 2025,001 - 1 CALIFORNIA,0600 AM Peak (6am-9am),24%
INBOUND,June 2025,001 - 1 CALIFORNIA,0600 AM Peak (6am-9am),20%
INBOUND,May 2025,001 - 1 CALIFORNIA,0600 AM Peak (6am-9am),19%
INBOUND,April 2025,001 - 1 CALIFORNIA,0600 AM Peak (6am-9am),27%
INBOUND,March 2025,001 - 1 CALIFORNIA,0600 AM Peak (6am-9am),22%
INBOUND,February 2025,001 - 1 CALIFORNIA,0600 AM Peak (6am-9am),24%
INBOUND,January 2025,001 - 1 CALIFORNIA,0600 AM Peak (6am-9am),19%
INBOUND,December 2024,001 - 1 CALIFORNIA,0600 AM Peak (6am-9am),13%
INBOUND,November 2024,001 - 1 CALIFORNIA,0600 AM Peak (6am-9am),16%
INBOUND,October 2024,001 - 1 CALIFORNIA,0600 AM Peak (6am-9am),25%
INBOUND,September 2024,001 - 1 CALIFORNIA,0600 AM Peak (6am-9am),19%
INBOUND,August 2024,001 - 1 CALIFORNIA,0600 AM Peak (6am-9am),16%
INBOUND,July 2024,001 - 1 CALIFORNIA,0600 AM Peak (6am-9am),19%
INBOUND,June 2024,001 - 1 CALIFORNIA,0600 AM Peak (6am-9am),21%
INBOUND,May 2024,001 - 1 CALIFORNIA,0600 AM Peak (6am-9am),20%
INBOUND,April 2024,001 - 1 CALIFORNIA,0600 AM Peak (6am-9am),18%
INBOUND,March 2024,001 - 1 CALIFORNIA,0600 AM Peak (6am-9am),21%
INBOUND,February 2024,001 - 1 CALIFORNIA,0600 AM Peak (6am-9am),22%
INBOUND,January 2024,001 - 1 CALIFORNIA,0600 AM Peak (6am-9am),19%
INBOUND,December 2023,001 - 1 CALIFORNIA,0600 AM Peak (6am-9am),9%
INBOUND,November 2023,001 - 1 CALIFORNIA,0600 AM Peak (6am-9am),15%
INBOUND,October 2023,001 - 1 CALIFORNIA,0600 AM Peak (6am-9am),22%
INBOUND,September 2023,001 - 1 CALIFORNIA,0600 AM Peak (6am-9am),20%
INBOUND,August 2023,001 - 1 CALIFORNIA,0600 AM Peak (6am-9am),16%
INBOUND,July 2023,001 - 1 CALIFORNIA,0600 AM Peak (6am-9am),11%
INBOUND,June 2023,001 - 1 CALIFORNIA,0600 AM Peak (6am-9am),17%
INBOUND,May 2023,001 - 1 CALIFORNIA,0600 AM Peak (6am-9am),21%
INBOUND,April 2023,001 - 1 CALIFORNIA,0600 AM Peak (6am-9am),22%
INBOUND,March 2023,001 - 1 CALIFORNIA,0600 AM Peak (6am-9am),21%
INBOUND,February 2023,001 - 1 CALIFORNIA,0600 AM Peak (6am-9am),24%
INBOUND,January 2023,001 - 1 CALIFORNIA,0600 AM Peak (6am-9am),25%
INBOUND,December 2022,001 - 1 CALIFORNIA,0600 AM Peak (6am-9am),14%
INBOUND,November 2022,001 - 1 CALIFORNIA,0600 AM Peak (6am-9am),21%
INBOUND,October 2022,001 - 1 CALIFORNIA,0600 AM Peak (6am-9am),28%
INBOUND,September 2022,001 - 1 CALIFORNIA,0600 AM Peak (6am-9am),26%
INBOUND,August 2022,001 - 1 CALIFORNIA,0600 AM Peak (6am-9am),21%
INBOUND,July 2022,001 - 1 CALIFORNIA,0600 AM Peak (6am-9am),20%
INBOUND,June 2022,001 - 1 CALIFORNIA,0600 AM Peak (6am-9am),18%
INBOUND,May 2022,001 - 1 CALIFORNIA,0600 AM Peak (6am-9am),16%
INBOUND,September 2025,001 - 1 CALIFORNIA,0900 Mid-Day (9am-2pm),4%
INBOUND,August 2025,001 - 1 CALIFORNIA,0900 Mid-Day (9am-2pm),2%
INBOUND,July 2025,001 - 1 CALIFORNIA,0900 Mid-Day (9am-2pm),3%
INBOUND,June 2025,001 - 1 CALIFORNIA,0900 Mid-Day (9am-2pm),2%
INBOUND,May 2025,001 - 1 CALIFORNIA,0900 Mid-Day (9am-2pm),2%
INBOUND,April 2025,001 - 1 CALIFORNIA,0900 Mid-Day (9am-2pm),2%
INBOUND,March 2025,001 - 1 CALIFORNIA,0900 Mid-Day (9am-2pm),2%
INBOUND,February 2025,001 - 1 CALIFORNIA,0900 Mid-Day (9am-2pm),2%
INBOUND,January 2025,001 - 1 CALIFORNIA,0900 Mid-Day (9am-2pm),2%
INBOUND,December 2024,001 - 1 CALIFORNIA,0900 Mid-Day (9am-2pm),2%
INBOUND,November 2024,001 - 1 CALIFORNIA,0900 Mid-Day (9am-2pm),2%
INBOUND,October 2024,001 - 1 CALIFORNIA,0900 Mid-Day (9am-2pm),4%
INBOUND,September 2024,001 - 1 CALIFORNIA,0900 Mid-Day (9am-2pm),3%
INBOUND,August 2024,001 - 1 CALIFORNIA,0900 Mid-Day (9am-2pm),4%
INBOUND,July 2024,001 - 1 CALIFORNIA,0900 Mid-Day (9am-2pm),4%
INBOUND,June 2024,001 - 1 CALIFORNIA,0900 Mid-Day (9am-2pm),4%
INBOUND,May 2024,001 - 1 CALIFORNIA,0900 Mid-Day (9am-2pm),4%
