Month,Route,Service Category,Service Day of the Week,Average Daily Boardings
January 2019,1 California,Frequent Local,Sunday,"9,600"
February 2019,1 California,Frequent Local,Sunday,"11,500"
March 2019,1 California,Frequent Local,Sunday,"11,800"
April 2019,1 California,Frequent Local,Sunday,"10,800"
May 2019,1 California,Frequent Local,Sunday,"10,800"
June 2019,1 California,Frequent Local,Sunday,"11,600"
July 2019,1 California,Frequent Local,Sunday,"10,900"
August 2019,1 California,Frequent Local,Sunday,"11,500"
September 2019,1 California,Frequent Local,Sunday,"12,000"
October 2019,1 California,Frequent Local,Sunday,"11,700"
November 2019,1 California,Frequent Local,Sunday,"10,900"
December 2019,1 California,Frequent Local,Sunday,"9,700"
January 2020,1 California,Frequent Local,Sunday,"9,300"
February 2020,1 California,Frequent Local,Sunday,"11,200"
March 2020,1 California,Frequent Local,Sunday,"5,200"
April 2020,1 California,Frequent Local,Sunday,"2,700"
May 2020,1 California,Frequent Local,Sunday,"3,500"
June 2020,1 California,Frequent Local,Sunday,"4,000"
July 2020,1 California,Frequent Local,Sunday,"4,100"
August 2020,1 California,Frequent Local,Sunday,"4,200"
September 2020,1 California,Frequent Local,Sunday,"4,700"
October 2020,1 California,Frequent Local,Sunday,"5,000"
November 2020,1 California,Frequent Local,Sunday,"4,700"
December 2020,1 California,Frequent Local,Sunday,"3,700"
January 2021,1 California,Frequent Local,Sunday,"4,100"
February 2021,1 California,Frequent Local,Sunday,"4,800"
March 2021,1 California,Frequent Local,Sunday,"4,900"
April 2021,1 California,Frequent Local,Sunday,"5,200"
May 2021,1 California,Frequent Local,Sunday,"6,100"
June 2021,1 California,Frequent Local,Sunday,"6,600"
July 2021,1 California,Frequent Local,Sunday,"7,000"
August 2021,1 California,Frequent Local,Sunday,"7,200"
September 2021,1 California,Frequent Local,Sunday,"7,800"
October 2021,1 California,Frequent Local,Sunday,"7,300"
November 2021,1 California,Frequent Local,Sunday,"7,100"
December 2021,1 California,Frequent Local,Sunday,"6,200"
January 2022,1 California,Frequent Local,Sunday,"6,100"
February 2022,1 California,Frequent Local,Sunday,"6,800"
March 2022,1 California,Frequent Local,Sunday,"6,900"
April 2022,1 California,Frequent Local,Sunday,"7,700"
May 2022,1 California,Frequent Local,Sunday,"8,100"
June 2022,1 California,Frequent Local,Sunday,"9,700"
July 2022,1 California,Frequent Local,Sunday,"8,100"
August 2022,1 California,Frequent Local,Sunday,"9,000"
September 2022,1 California,Frequent Local,Sunday,"8,700"
October 2022,1 California,Frequent Local,Sunday,"8,900"
November 2022,1 California,Frequent Local,Sunday,"8,100"
December 2022,1 California,Frequent Local,Sunday,"7,700"
January 2023,1 California,Frequent Local,Sunday,"8,200"
February 2023,1 California,Frequent Local,Sunday,"8,500"
March 2023,1 California,Frequent Local,Sunday,"7,800"
April 2023,1 California,Frequent Local,Sunday,"8,800"
May 2023,1 California,Frequent Local,Sunday,"8,900"
June 2023,1 California,Frequent Local,Sunday,"9,800"
July 2023,1 California,Frequent Local,Sunday,"9,600"
August 2023,1 California,Frequent Local,Sunday,"10,400"
September 2023,1 California,Frequent Local,Sunday,"10,100"
October 2023,1 California,Frequent Local,Sunday,"10,100"
November 2023,1 California,Frequent Local,Sunday,"8,300"
December 2023,1 California,Frequent Local,Sunday,"9,100"
January 2024,1 California,Frequent Local,Sunday,"9,100"
February 2024,1 California,Frequent Local,Sunday,"9,300"
March 2024,1 California,Frequent Local,Sunday,"9,800"
April 2024,1 California,Frequent Local,Sunday,"10,400"
May 2024,1 California,Frequent Local,Sunday,"10,400"
June 2024,1 California,Frequent Local,Sunday,"11,200"
July 2024,1 California,Frequent Local,Sunday,"10,600"
August 2024,1 California,Frequent Local,Sunday,"10,800"
September 2024,1 California,Frequent Local,Sunday,"10,900"
October 2024,1 California,Frequent Local,Sunday,"10,500"
November 2024,1 California,Frequent Local,Sunday,"9,300"
December 2024,1 California,Frequent Local,Sunday,"9,500"
January 2025,1 California,Frequent Local,Sunday,"9,800"
February 2025,1 California,Frequent Local,Sunday,"10,200"
March 2025,1 California,Frequent Local,Sunday,"9,900"
April 2025,1 California,Frequent Local,Sunday,"10,600"
May 2025,1 California,Frequent Local,Sunday,"10,700"
June 2025,1 California,Frequent Local,Sunday,"11,300"
July 2025,1 California,Frequent Local,Sunday,"10,800"
August 2025,1 California,Frequent Local,Sunday,"11,300"
September 2025,1 California,Frequent Local,Sunday,"11,100"
October 2025,1 California,Frequent Local,Sunday,"10,800"
January 2019,1AX California A Express,Specialized,Sunday,
February 2019,1AX California A Express,Specialized,Sunday,
March 2019,1AX California A Express,Specialized,Sunday,
April 2019,1AX California A Express,Specialized,Sunday,
May 2019,1AX California A Express,Specialized,Sunday,
June 2019,1AX California A Express,Specialized,Sunday,
July 2019,1AX California A Express,Specialized,Sunday,
August 2019,1AX California A Express,Specialized,Sunday,
September 2019,1AX California A Express,Specialized,Sunday,
October 2019,1AX California A Express,Specialized,Sunday,
November 2019,1AX California A Express,Specialized,Sunday,
December 2019,1AX California A Express,Specialized,Sunday,
January 2020,1AX California A Express,Specialized,Sunday,
February 2020,1AX California A Express,Specialized,Sunday,
